Advanced Diploma in Music Performance | is 18 months
2 | Advanced Diploma in Music Production | is 18 months
3 | Diploma in Music Performance | is 1 year
4 | Diploma in Music Production | is 1 year
5 | Certificate in Music Performance | can be either 3 months or 6 months
6 | Certificate in Music Production | can be either 3 months or 6 months
7 | Certificate in Gospel Music Performance | can be either 3 months or 6 months
8 | Certificate in Gospel Music Performance | can be either 3 months or 6 months
9 | Diploma in Gospel Music Performance | is 1 year
10 | Certificate in Songwriting | can be either 3 months or 6 months
11 | Certificate in Songwriting | can be either 3 months or 6 months
12 | Certificate in Piano | can be either 3 months or 6 months
13 | Certificate in Piano | can be either 3 months or 6 months
14 | Certificate in Music Business | can be either 3 months or 6 months
15 | Certificate in Music Business | can be either 3 months or 6 months
16 | Certificate in Guitar | can be either 3 months or 6 months
17 | Certificate in Guitar | can be either 3 months or 6 months
18 | Certificate in Drums | can be either 3 months or 6 months
19 | Certificate in Drums | can be either 3 months or 6 months
20 | Certificate in Voice | can be either 3 months or 6 months
21 | Certificate in Voice | can be either 3 months or 6 months
